featureNumber,network,superclass,class,subclass,Compound_Name,FSW,PPL,size
1350,409,Lipids and lipid-like molecules,Steroids and steroid derivatives,Androstane steroids,NA,468.64273,240544.97333333333,5.381196285884581
1443,702,Unknown,NA,NA,NA,34871.427500000005,310654.4533333333,5.492277583747396
1446,702,Unknown,NA,NA,NA,74846.1895,944069.27,5.9750038613267344
1448,702,Unknown,NA,NA,NA,182284.485,380056.4,5.579848050277945
1454,702,Unknown,NA,NA,NA,63610.11,102324.10800000001,5.009977967415852
1458,702,Unknown,NA,NA,NA,67827.689,79910.47066666666,4.902603688635924
1476,702,Unknown,NA,NA,NA,22715.902000000002,87183.34333333334,4.940433519457724
1478,702,Unknown,NA,NA,NA,46088.1875,55843.888666666666,4.746975652589201
1479,702,Unknown,NA,NA,NA,54644.3615,130791.11666666667,5.116578247706431
1480,702,Unknown,NA,NA,NA,33481.1335,91808.02333333333,4.962880636943394
1486,259,Benzenoids,Benzene and substituted derivatives,Benzoic acids and derivatives,NA,561924.175,1015842.9866666667,6.0068265865956745
1490,259,Benzenoids,Benzene and substituted derivatives,Benzoic acids and derivatives,NA,10290.35,36892.441666666666,4.566937399256857
1491,259,Benzenoids,Benzene and substituted derivatives,Benzoic acids and derivatives,NA,1084053.5,1969738.8333333333,6.294408647094982
1546,702,Unknown,NA,NA,NA,51878.0935,180876.24333333335,5.2573815294537
1560,351,Benzenoids,Benzene and substituted derivatives,Toluenes,NA,37363.9315,264840.5,5.422984399127102
1561,351,Benzenoids,Benzene and substituted derivatives,Toluenes,NA,893402.37,2446848.6,6.388607097991453
1562,351,Benzenoids,Benzene and substituted derivatives,Toluenes,NA,57749.099,309271.70666666667,5.49034019093566
1575,351,Benzenoids,Benzene and substituted derivatives,Toluenes,NA,204140.22499999998,145625.60666666666,5.163237747616012
1576,351,Benzenoids,Benzene and substituted derivatives,Toluenes,NA,293818.83999999997,177049.31333333332,5.248094246733087
1580,351,Benzenoids,Benzene and substituted derivatives,Toluenes,NA,313958.55000000005,973774.8333333334,5.988458546256603
1581,351,Benzenoids,Benzene and substituted derivatives,Toluenes,DEET,31844.531000000003,85878.39333333334,4.933883910787562
1584,351,Benzenoids,Benzene and substituted derivatives,Toluenes,"MassbankEU:SM822301 DEET|N,N-diethyl-3-methylbenzamide",64656.01,219008.40000000002,5.340460772391199
1585,351,Benzenoids,Benzene and substituted derivatives,Toluenes,"MassbankEU:SM822301 DEET|N,N-diethyl-3-methylbenzamide",18708.728,126886.13666666666,5.103414174513426
1586,351,Benzenoids,Benzene and substituted derivatives,Toluenes,"MassbankEU:SM822301 DEET|N,N-diethyl-3-methylbenzamide",1141985.8,5735517.833333333,6.758572634444204
1587,351,Benzenoids,Benzene and substituted derivatives,Toluenes,"MassbankEU:SM822301 DEET|N,N-diethyl-3-methylbenzamide",13927.94,112640.14666666667,5.051693207285275
1589,351,Benzenoids,Benzene and substituted derivatives,Toluenes,DEET,63488.9235,451900,5.655042341331201
1590,351,Benzenoids,Benzene and substituted derivatives,Toluenes,DEET,243181.10499999998,2136710.3000000003,6.329745643530392
1591,351,Benzenoids,Benzene and substituted derivatives,Toluenes,"MassbankEU:SM822301 DEET|N,N-diethyl-3-methylbenzamide",27651.650500000003,103393.462,5.014493077374027
